Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.71,0.83,0.58,0.36,0.7,0.61,0.23
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.71,0.83,0.58,0.36,0.7,0.61,0.23
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.01,0.71,0.84,0.57,0.35,0.71,0.6,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.71,0.84,0.57,0.35,0.71,0.6,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.71,0.84,0.57,0.35,0.71,0.6,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.71,0.84,0.57,0.35,0.71,0.6,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.71,0.84,0.57,0.35,0.71,0.6,0.22
Single_Model,All_Features,k-NN,0.71,0.57,0.84,0.42,0.77,0.81,0.33,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.01,0.69,0.56,0.83,0.41,0.72,0.8,0.33
Single_Model,All_Features,k-NN,0.71,0.57,0.84,0.42,0.77,0.81,0.33,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.69,0.56,0.83,0.41,0.72,0.8,0.33
Single_Model,All_Features,k-NN,0.71,0.57,0.84,0.42,0.77,0.81,0.33,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.69,0.56,0.83,0.41,0.72,0.8,0.33
Single_Model,All_Features,k-NN,0.71,0.57,0.84,0.42,0.77,0.81,0.33,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.69,0.56,0.83,0.41,0.72,0.8,0.33
Single_Model,All_Features,k-NN,0.71,0.57,0.84,0.42,0.77,0.81,0.33,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.69,0.56,0.83,0.41,0.72,0.8,0.33
Single_Model,All_Features,k-NN,0.68,0.51,0.85,0.39,0.76,0.81,0.32,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.01,0.69,0.54,0.84,0.41,0.71,0.8,0.33
Single_Model,All_Features,k-NN,0.68,0.51,0.85,0.39,0.76,0.81,0.32,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.01,0.69,0.54,0.84,0.41,0.71,0.8,0.33
Single_Model,All_Features,k-NN,0.68,0.51,0.85,0.39,0.76,0.81,0.32,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.01,0.69,0.54,0.84,0.41,0.71,0.8,0.33
Single_Model,All_Features,k-NN,0.68,0.51,0.85,0.39,0.76,0.81,0.32,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.01,0.69,0.54,0.84,0.41,0.71,0.8,0.33
Single_Model,All_Features,k-NN,0.68,0.51,0.85,0.39,0.76,0.81,0.32,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.02,0.69,0.54,0.84,0.41,0.71,0.8,0.33
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.67,0.9,0.43,0.31,0.67,0.49,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.67,0.9,0.43,0.31,0.67,0.49,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.67,0.9,0.43,0.31,0.67,0.49,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.67,0.9,0.43,0.31,0.67,0.49,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.67,0.9,0.43,0.31,0.67,0.49,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.01,0.67,0.9,0.43,0.31,0.66,0.49,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.01,0.67,0.9,0.43,0.31,0.66,0.49,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.01,0.67,0.9,0.43,0.31,0.66,0.49,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.02,0.67,0.9,0.43,0.31,0.66,0.49,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.02,0.67,0.9,0.43,0.31,0.66,0.49,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.02,0.67,0.89,0.44,0.31,0.66,0.5,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.03,0.67,0.89,0.44,0.31,0.66,0.5,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.03,0.67,0.89,0.44,0.31,0.66,0.5,0.19
